Points	Interferogram
0	-2.11E-04
1	-1.16E-04
2	-5.71E-05
3	-7.64E-05
4	-1.58E-04
5	-2.43E-04
6	-2.79E-04
7	-2.54E-04
8	-1.98E-04
9	-1.45E-04
10	-1.07E-04
11	-7.53E-05
12	-4.88E-05
13	-4.80E-05
14	-8.98E-05
15	-1.55E-04
16	-1.93E-04
17	-1.64E-04
18	-8.07E-05
19	9.09E-08
20	1.70E-05
21	-5.01E-05
22	-1.69E-04
23	-2.80E-04
24	-3.36E-04
25	-3.31E-04
26	-2.90E-04
27	-2.47E-04
28	-2.18E-04
29	-2.01E-04
30	-1.89E-04
31	-1.77E-04
32	-1.65E-04
33	-1.44E-04
34	-9.88E-05
35	-2.05E-05
36	7.23E-05
37	1.31E-04
38	1.08E-04
39	-3.55E-06
40	-1.53E-04
41	-2.69E-04
42	-3.06E-04
43	-2.75E-04
44	-2.29E-04
45	-2.15E-04
46	-2.50E-04
47	-3.12E-04
48	-3.63E-04
49	-3.71E-04
50	-3.26E-04
51	-2.42E-04
52	-1.37E-04
53	-3.21E-05
54	5.19E-05
55	8.90E-05
56	6.19E-05
57	-1.66E-05
58	-9.78E-05
59	-1.26E-04
60	-8.28E-05
61	-9.73E-06
62	1.57E-05
63	-6.20E-05
64	-2.30E-04
65	-4.10E-04
66	-5.16E-04
67	-5.11E-04
68	-4.21E-04
69	-3.03E-04
70	-1.98E-04
71	-1.21E-04
72	-7.50E-05
73	-5.93E-05
74	-6.55E-05
75	-6.98E-05
76	-4.14E-05
77	3.32E-05
78	1.29E-04
79	1.83E-04
80	1.32E-04
81	-3.83E-05
82	-2.64E-04
83	-4.38E-04
84	-4.80E-04
85	-4.00E-04
86	-2.77E-04
87	-1.96E-04
88	-1.91E-04
89	-2.32E-04
90	-2.69E-04
91	-2.68E-04
92	-2.23E-04
93	-1.44E-04
94	-4.49E-05
95	5.43E-05
96	1.21E-04
97	1.14E-04
98	1.54E-05
99	-1.41E-04
100	-2.73E-04
101	-2.99E-04
102	-2.11E-04
103	-8.13E-05
104	-1.53E-05
105	-6.71E-05
106	-2.05E-04
107	-3.42E-04
108	-4.01E-04
109	-3.58E-04
110	-2.49E-04
111	-1.31E-04
112	-5.06E-05
113	-2.35E-05
114	-4.70E-05
115	-1.12E-04
116	-1.98E-04
117	-2.65E-04
118	-2.61E-04
119	-1.65E-04
120	-1.98E-05
121	8.36E-05
122	6.97E-05
123	-6.21E-05
124	-2.32E-04
125	-3.34E-04
126	-3.12E-04
127	-1.91E-04
128	-6.02E-05
129	-1.60E-06
130	-4.47E-05
131	-1.59E-04
132	-2.87E-04
133	-3.84E-04
134	-4.26E-04
135	-4.05E-04
136	-3.20E-04
137	-1.87E-04
138	-5.90E-05
139	6.74E-07
140	-3.89E-05
141	-1.39E-04
142	-2.12E-04
143	-1.80E-04
144	-4.40E-05
145	1.18E-04
146	2.00E-04
147	1.45E-04
148	-2.53E-05
149	-2.33E-04
150	-4.00E-04
151	-4.86E-04
152	-4.92E-04
153	-4.41E-04
154	-3.63E-04
155	-2.87E-04
156	-2.40E-04
157	-2.33E-04
158	-2.56E-04
159	-2.67E-04
160	-2.13E-04
161	-6.84E-05
162	1.29E-04
163	2.92E-04
164	3.33E-04
165	2.30E-04
166	3.82E-05
167	-1.52E-04
168	-2.71E-04
169	-3.07E-04
170	-2.98E-04
171	-2.94E-04
172	-3.24E-04
173	-3.82E-04
174	-4.44E-04
175	-4.84E-04
176	-4.90E-04
177	-4.48E-04
178	-3.41E-04
179	-1.63E-04
180	4.93E-05
181	2.15E-04
182	2.66E-04
183	2.01E-04
184	8.91E-05
185	1.29E-05
186	5.87E-07
187	1.70E-05
188	2.48E-06
189	-7.84E-05
190	-2.16E-04
191	-3.69E-04
192	-4.95E-04
193	-5.66E-04
194	-5.79E-04
195	-5.37E-04
196	-4.43E-04
197	-3.07E-04
198	-1.54E-04
199	-3.20E-05
200	2.29E-05
201	1.71E-05
202	2.72E-06
203	3.32E-05
204	1.14E-04
205	1.93E-04
206	2.03E-04
207	1.16E-04
208	-3.07E-05
209	-1.73E-04
210	-2.70E-04
211	-3.23E-04
212	-3.56E-04
213	-3.79E-04
214	-3.82E-04
215	-3.56E-04
216	-3.09E-04
217	-2.66E-04
218	-2.50E-04
219	-2.49E-04
220	-2.23E-04
221	-1.40E-04
222	-1.88E-05
223	8.47E-05
224	1.25E-04
225	1.04E-04
226	5.99E-05
227	2.64E-05
228	7.93E-06
229	-1.57E-05
230	-6.47E-05
231	-1.38E-04
232	-2.13E-04
233	-2.62E-04
234	-2.81E-04
235	-2.85E-04
236	-2.97E-04
237	-3.15E-04
238	-3.19E-04
239	-2.91E-04
240	-2.40E-04
241	-1.85E-04
242	-1.39E-04
243	-9.67E-05
244	-4.47E-05
245	1.61E-05
246	6.27E-05
247	6.72E-05
248	2.61E-05
249	-3.14E-05
250	-6.64E-05
251	-6.34E-05
252	-4.16E-05
253	-3.51E-05
254	-6.61E-05
255	-1.34E-04
256	-2.20E-04
257	-3.00E-04
258	-3.56E-04
259	-3.73E-04
260	-3.48E-04
261	-2.87E-04
262	-2.14E-04
263	-1.57E-04
264	-1.37E-04
265	-1.43E-04
266	-1.45E-04
267	-1.06E-04
268	-1.76E-05
269	9.05E-05
270	1.70E-04
271	1.83E-04
272	1.21E-04
273	5.94E-06
274	-1.22E-04
275	-2.28E-04
276	-2.88E-04
277	-2.98E-04
278	-2.75E-04
279	-2.51E-04
280	-2.65E-04
281	-3.27E-04
282	-4.04E-04
283	-4.36E-04
284	-3.76E-04
285	-2.26E-04
286	-3.85E-05
287	1.09E-04
288	1.64E-04
289	1.27E-04
290	4.29E-05
291	-3.53E-05
292	-7.62E-05
293	-7.68E-05
294	-5.31E-05
295	-3.16E-05
296	-4.37E-05
297	-1.16E-04
298	-2.52E-04
299	-4.15E-04
300	-5.34E-04
301	-5.39E-04
302	-4.17E-04
303	-2.24E-04
304	-5.34E-05
305	2.47E-05
306	3.64E-06
307	-6.36E-05
308	-1.05E-04
309	-8.15E-05
310	-5.69E-06
311	7.44E-05
312	1.13E-04
313	8.69E-05
314	-6.21E-06
315	-1.52E-04
316	-3.17E-04
317	-4.48E-04
318	-4.88E-04
319	-4.13E-04
320	-2.61E-04
321	-1.16E-04
322	-5.51E-05
323	-9.29E-05
324	-1.73E-04
325	-2.13E-04
326	-1.66E-04
327	-4.89E-05
328	7.16E-05
329	1.31E-04
330	1.02E-04
331	-1.03E-06
332	-1.36E-04
333	-2.55E-04
334	-3.29E-04
335	-3.43E-04
336	-2.95E-04
337	-2.04E-04
338	-1.15E-04
339	-8.51E-05
340	-1.36E-04
341	-2.32E-04
342	-2.96E-04
343	-2.65E-04
344	-1.41E-04
345	8.67E-06
346	1.05E-04
347	1.06E-04
348	2.59E-05
349	-8.92E-05
350	-1.86E-04
351	-2.31E-04
352	-2.20E-04
353	-1.80E-04
354	-1.37E-04
355	-1.10E-04
356	-1.14E-04
357	-1.65E-04
358	-2.52E-04
359	-3.26E-04
360	-3.31E-04
361	-2.47E-04
362	-1.14E-04
363	1.32E-06
364	5.00E-05
365	2.21E-05
366	-5.02E-05
367	-1.17E-04
368	-1.44E-04
369	-1.34E-04
370	-1.10E-04
371	-9.29E-05
372	-9.24E-05
373	-1.11E-04
374	-1.47E-04
375	-1.99E-04
376	-2.55E-04
377	-2.96E-04
378	-3.01E-04
379	-2.62E-04
380	-1.93E-04
381	-1.30E-04
382	-1.02E-04
383	-1.12E-04
384	-1.39E-04
385	-1.52E-04
386	-1.38E-04
387	-1.09E-04
388	-8.17E-05
389	-6.37E-05
390	-4.93E-05
391	-3.48E-05
392	-3.34E-05
393	-6.71E-05
394	-1.41E-04
395	-2.29E-04
396	-2.95E-04
397	-3.18E-04
398	-2.97E-04
399	-2.49E-04
400	-2.01E-04
401	-1.79E-04
402	-1.90E-04
403	-2.12E-04
404	-2.15E-04
405	-1.86E-04
406	-1.30E-04
407	-5.90E-05
408	1.31E-05
409	6.22E-05
410	6.04E-05
411	-5.16E-06
412	-1.18E-04
413	-2.38E-04
414	-3.14E-04
415	-3.14E-04
416	-2.46E-04
417	-1.62E-04
418	-1.28E-04
419	-1.70E-04
420	-2.54E-04
421	-3.21E-04
