Points	Interferogram
0	6.17E-05
1	5.99E-05
2	5.73E-05
3	5.78E-05
4	5.62E-05
5	5.84E-05
6	5.75E-05
7	5.17E-05
8	4.75E-05
9	5.06E-05
10	5.11E-05
11	4.43E-05
12	3.95E-05
13	3.98E-05
14	3.67E-05
15	3.52E-05
16	3.10E-05
17	2.67E-05
18	2.40E-05
19	2.19E-05
20	1.82E-05
21	1.59E-05
22	1.17E-05
23	8.71E-06
24	5.55E-06
25	3.59E-06
26	2.72E-07
27	-1.57E-06
28	-5.40E-06
29	-7.36E-06
30	-9.73E-06
31	-1.08E-05
32	-1.35E-05
33	-1.45E-05
34	-1.72E-05
35	-1.79E-05
36	-1.94E-05
37	-1.90E-05
38	-2.09E-05
39	-2.14E-05
40	-2.22E-05
41	-2.17E-05
42	-2.19E-05
43	-2.15E-05
44	-2.20E-05
45	-2.10E-05
46	-2.10E-05
47	-2.00E-05
48	-1.94E-05
49	-1.78E-05
50	-1.80E-05
51	-1.65E-05
52	-1.59E-05
53	-1.40E-05
54	-1.31E-05
55	-1.21E-05
56	-1.17E-05
57	-9.87E-06
58	-8.86E-06
59	-7.35E-06
60	-6.92E-06
61	-5.76E-06
62	-5.11E-06
63	-4.01E-06
64	-3.03E-06
65	-2.27E-06
66	-1.88E-06
67	-1.30E-06
68	-1.24E-06
69	-1.05E-07
70	1.90E-07
71	3.02E-07
72	3.80E-08
73	2.51E-07
74	4.05E-07
75	7.47E-07
76	3.40E-07
77	-1.56E-07
78	-3.44E-07
79	-3.47E-07
80	-6.68E-07
81	-1.03E-06
82	-1.56E-06
83	-2.02E-06
84	-2.28E-06
85	-2.78E-06
86	-3.27E-06
87	-3.49E-06
88	-3.94E-06
89	-4.57E-06
90	-5.07E-06
91	-5.33E-06
92	-5.26E-06
93	-5.77E-06
94	-6.36E-06
95	-6.99E-06
96	-6.44E-06
97	-6.76E-06
98	-7.04E-06
99	-7.57E-06
100	-7.40E-06
101	-7.57E-06
102	-7.36E-06
103	-7.81E-06
104	-7.50E-06
105	-7.82E-06
106	-7.72E-06
107	-7.98E-06
108	-7.51E-06
109	-7.64E-06
110	-7.67E-06
111	-8.15E-06
112	-7.77E-06
113	-7.90E-06
114	-7.50E-06
115	-8.35E-06
116	-8.06E-06
117	-8.57E-06
118	-8.23E-06
119	-8.75E-06
120	-8.69E-06
121	-9.43E-06
122	-9.33E-06
123	-1.01E-05
124	-9.94E-06
125	-1.06E-05
126	-1.08E-05
127	-1.16E-05
128	-1.20E-05
129	-1.25E-05
130	-1.26E-05
131	-1.33E-05
132	-1.40E-05
133	-1.47E-05
134	-1.50E-05
135	-1.53E-05
136	-1.59E-05
137	-1.65E-05
138	-1.72E-05
139	-1.75E-05
140	-1.79E-05
141	-1.81E-05
142	-1.87E-05
143	-1.91E-05
144	-1.96E-05
145	-1.95E-05
146	-1.99E-05
147	-1.99E-05
148	-2.04E-05
149	-2.02E-05
150	-2.07E-05
151	-2.02E-05
152	-2.04E-05
153	-2.00E-05
154	-2.05E-05
155	-2.02E-05
156	-2.01E-05
157	-1.92E-05
158	-1.97E-05
159	-1.92E-05
160	-1.94E-05
161	-1.85E-05
162	-1.87E-05
163	-1.78E-05
164	-1.82E-05
165	-1.75E-05
166	-1.77E-05
167	-1.69E-05
168	-1.70E-05
169	-1.62E-05
170	-1.68E-05
171	-1.62E-05
172	-1.64E-05
173	-1.57E-05
174	-1.60E-05
175	-1.57E-05
176	-1.63E-05
177	-1.59E-05
178	-1.62E-05
179	-1.59E-05
180	-1.65E-05
181	-1.65E-05
182	-1.73E-05
183	-1.68E-05
184	-1.73E-05
185	-1.75E-05
186	-1.84E-05
187	-1.86E-05
188	-1.89E-05
189	-1.89E-05
190	-1.98E-05
191	-2.03E-05
192	-2.08E-05
193	-2.08E-05
194	-2.15E-05
195	-2.20E-05
196	-2.25E-05
197	-2.27E-05
198	-2.29E-05
199	-2.36E-05
200	-2.40E-05
201	-2.40E-05
202	-2.42E-05
203	-2.45E-05
204	-2.50E-05
205	-2.51E-05
206	-2.48E-05
207	-2.50E-05
208	-2.52E-05
209	-2.53E-05
210	-2.50E-05
211	-2.49E-05
212	-2.46E-05
213	-2.47E-05
214	-2.44E-05
215	-2.43E-05
216	-2.36E-05
217	-2.37E-05
218	-2.30E-05
219	-2.29E-05
220	-2.22E-05
221	-2.22E-05
222	-2.15E-05
223	-2.12E-05
224	-2.04E-05
225	-2.04E-05
226	-1.98E-05
227	-1.96E-05
228	-1.85E-05
229	-1.84E-05
230	-1.79E-05
231	-1.80E-05
232	-1.70E-05
233	-1.68E-05
234	-1.61E-05
235	-1.65E-05
236	-1.56E-05
237	-1.56E-05
238	-1.49E-05
239	-1.50E-05
240	-1.44E-05
241	-1.45E-05
242	-1.41E-05
243	-1.42E-05
244	-1.36E-05
245	-1.37E-05
246	-1.33E-05
247	-1.36E-05
248	-1.32E-05
249	-1.31E-05
250	-1.28E-05
251	-1.31E-05
252	-1.28E-05
253	-1.28E-05
254	-1.25E-05
255	-1.26E-05
256	-1.25E-05
257	-1.24E-05
258	-1.22E-05
259	-1.22E-05
260	-1.22E-05
261	-1.19E-05
262	-1.18E-05
263	-1.17E-05
264	-1.18E-05
265	-1.14E-05
266	-1.13E-05
267	-1.09E-05
268	-1.12E-05
269	-1.07E-05
270	-1.08E-05
271	-1.02E-05
272	-1.04E-05
273	-9.95E-06
274	-1.01E-05
275	-9.44E-06
276	-9.68E-06
277	-9.18E-06
278	-9.40E-06
279	-8.73E-06
280	-9.05E-06
281	-8.66E-06
282	-8.84E-06
283	-8.17E-06
284	-8.55E-06
285	-8.20E-06
286	-8.60E-06
287	-7.99E-06
288	-8.26E-06
289	-8.01E-06
290	-8.53E-06
291	-8.15E-06
292	-8.41E-06
293	-8.17E-06
294	-8.71E-06
295	-8.60E-06
296	-8.84E-06
297	-8.73E-06
298	-9.28E-06
299	-9.39E-06
300	-9.55E-06
301	-9.56E-06
302	-1.01E-05
303	-1.05E-05
304	-1.06E-05
305	-1.06E-05
306	-1.12E-05
307	-1.17E-05
308	-1.19E-05
309	-1.21E-05
310	-1.24E-05
311	-1.31E-05
312	-1.32E-05
313	-1.37E-05
314	-1.39E-05
315	-1.45E-05
316	-1.47E-05
317	-1.52E-05
318	-1.53E-05
319	-1.62E-05
320	-1.63E-05
321	-1.68E-05
322	-1.68E-05
323	-1.77E-05
324	-1.79E-05
325	-1.85E-05
326	-1.85E-05
327	-1.92E-05
328	-1.94E-05
329	-2.01E-05
330	-2.02E-05
331	-2.08E-05
332	-2.09E-05
333	-2.16E-05
334	-2.18E-05
335	-2.25E-05
336	-2.25E-05
337	-2.30E-05
338	-2.32E-05
339	-2.38E-05
340	-2.39E-05
341	-2.45E-05
342	-2.45E-05
343	-2.50E-05
344	-2.51E-05
345	-2.56E-05
346	-2.57E-05
347	-2.60E-05
348	-2.60E-05
349	-2.65E-05
350	-2.65E-05
351	-2.67E-05
352	-2.66E-05
353	-2.70E-05
354	-2.70E-05
355	-2.70E-05
356	-2.68E-05
357	-2.71E-05
358	-2.71E-05
359	-2.70E-05
360	-2.65E-05
361	-2.67E-05
362	-2.68E-05
363	-2.67E-05
364	-2.61E-05
365	-2.61E-05
366	-2.60E-05
367	-2.60E-05
368	-2.55E-05
369	-2.53E-05
370	-2.51E-05
371	-2.51E-05
372	-2.47E-05
373	-2.45E-05
374	-2.43E-05
375	-2.43E-05
376	-2.39E-05
377	-2.38E-05
378	-2.37E-05
379	-2.38E-05
380	-2.36E-05
381	-2.35E-05
382	-2.36E-05
383	-2.36E-05
384	-2.37E-05
385	-2.38E-05
386	-2.40E-05
387	-2.41E-05
388	-2.44E-05
389	-2.46E-05
390	-2.50E-05
391	-2.53E-05
392	-2.59E-05
393	-2.61E-05
394	-2.67E-05
395	-2.71E-05
396	-2.79E-05
397	-2.84E-05
398	-2.90E-05
399	-2.94E-05
400	-3.03E-05
401	-3.10E-05
402	-3.18E-05
403	-3.21E-05
404	-3.29E-05
405	-3.36E-05
406	-3.47E-05
407	-3.50E-05
408	-3.57E-05
409	-3.61E-05
410	-3.71E-05
411	-3.75E-05
412	-3.82E-05
413	-3.84E-05
414	-3.92E-05
415	-3.94E-05
416	-3.99E-05
417	-4.00E-05
418	-4.06E-05
419	-4.05E-05
420	-4.08E-05
421	-4.07E-05
422	-4.11E-05
423	-4.09E-05
424	-4.08E-05
425	-4.04E-05
426	-4.06E-05
427	-4.02E-05
428	-3.99E-05
429	-3.93E-05
430	-3.91E-05
431	-3.85E-05
432	-3.81E-05
433	-3.73E-05
434	-3.69E-05
435	-3.62E-05
436	-3.55E-05
437	-3.46E-05
438	-3.41E-05
439	-3.33E-05
440	-3.26E-05
441	-3.16E-05
442	-3.09E-05
443	-3.00E-05
444	-2.93E-05
445	-2.84E-05
446	-2.77E-05
447	-2.67E-05
448	-2.60E-05
449	-2.51E-05
450	-2.45E-05
451	-2.37E-05
452	-2.30E-05
453	-2.20E-05
454	-2.15E-05
455	-2.08E-05
456	-2.03E-05
457	-1.94E-05
458	-1.88E-05
459	-1.82E-05
460	-1.78E-05
461	-1.71E-05
462	-1.66E-05
463	-1.60E-05
464	-1.56E-05
465	-1.50E-05
466	-1.47E-05
467	-1.41E-05
468	-1.38E-05
469	-1.32E-05
470	-1.29E-05
471	-1.24E-05
472	-1.22E-05
473	-1.17E-05
474	-1.13E-05
475	-1.08E-05
476	-1.06E-05
477	-1.03E-05
478	-9.96E-06
479	-9.50E-06
480	-9.21E-06
481	-8.93E-06
482	-8.67E-06
483	-8.35E-06
484	-8.01E-06
485	-7.76E-06
486	-7.51E-06
487	-7.30E-06
488	-7.02E-06
489	-6.91E-06
490	-6.66E-06
491	-6.54E-06
492	-6.25E-06
493	-6.30E-06
494	-6.20E-06
495	-6.25E-06
496	-5.96E-06
497	-6.07E-06
498	-6.08E-06
499	-6.38E-06
500	-6.26E-06
501	-6.42E-06
502	-6.45E-06
503	-6.91E-06
504	-7.02E-06
505	-7.35E-06
506	-7.48E-06
507	-7.95E-06
508	-8.16E-06
509	-8.69E-06
510	-9.00E-06
511	-9.54E-06
512	-9.78E-06
513	-1.03E-05
514	-1.08E-05
515	-1.14E-05
516	-1.18E-05
517	-1.23E-05
518	-1.27E-05
519	-1.34E-05
520	-1.38E-05
521	-1.43E-05
522	-1.47E-05
523	-1.52E-05
524	-1.57E-05
525	-1.61E-05
526	-1.65E-05
527	-1.69E-05
528	-1.73E-05
529	-1.76E-05
530	-1.79E-05
531	-1.81E-05
532	-1.85E-05
533	-1.86E-05
534	-1.88E-05
535	-1.89E-05
536	-1.91E-05
537	-1.92E-05
538	-1.93E-05
539	-1.92E-05
540	-1.92E-05
541	-1.92E-05
542	-1.92E-05
543	-1.92E-05
544	-1.90E-05
545	-1.88E-05
546	-1.87E-05
547	-1.86E-05
548	-1.85E-05
549	-1.83E-05
550	-1.81E-05
551	-1.80E-05
552	-1.77E-05
553	-1.76E-05
554	-1.74E-05
555	-1.73E-05
556	-1.69E-05
557	-1.69E-05
558	-1.67E-05
559	-1.67E-05
560	-1.64E-05
561	-1.64E-05
562	-1.61E-05
563	-1.62E-05
564	-1.59E-05
565	-1.61E-05
566	-1.59E-05
567	-1.60E-05
568	-1.56E-05
569	-1.59E-05
570	-1.57E-05
571	-1.60E-05
572	-1.56E-05
573	-1.58E-05
574	-1.56E-05
575	-1.59E-05
576	-1.57E-05
577	-1.59E-05
578	-1.56E-05
579	-1.58E-05
580	-1.56E-05
581	-1.58E-05
582	-1.56E-05
583	-1.57E-05
584	-1.54E-05
585	-1.56E-05
586	-1.54E-05
587	-1.55E-05
588	-1.52E-05
589	-1.52E-05
590	-1.50E-05
591	-1.50E-05
592	-1.48E-05
593	-1.48E-05
594	-1.45E-05
595	-1.45E-05
596	-1.43E-05
597	-1.42E-05
598	-1.41E-05
599	-1.40E-05
600	-1.39E-05
601	-1.38E-05
602	-1.38E-05
603	-1.38E-05
604	-1.38E-05
605	-1.38E-05
606	-1.39E-05
607	-1.40E-05
608	-1.42E-05
609	-1.43E-05
610	-1.46E-05
611	-1.47E-05
612	-1.51E-05
613	-1.54E-05
614	-1.59E-05
615	-1.63E-05
616	-1.68E-05
617	-1.73E-05
618	-1.80E-05
619	-1.86E-05
620	-1.94E-05
621	-2.00E-05
622	-2.08E-05
623	-2.16E-05
624	-2.25E-05
625	-2.34E-05
626	-2.44E-05
627	-2.52E-05
628	-2.62E-05
629	-2.71E-05
630	-2.83E-05
631	-2.92E-05
632	-3.03E-05
633	-3.12E-05
634	-3.23E-05
635	-3.32E-05
636	-3.44E-05
637	-3.52E-05
638	-3.62E-05
639	-3.70E-05
640	-3.80E-05
641	-3.88E-05
642	-3.97E-05
643	-4.02E-05
644	-4.10E-05
645	-4.15E-05
646	-4.23E-05
647	-4.26E-05
648	-4.32E-05
649	-4.34E-05
650	-4.39E-05
651	-4.40E-05
652	-4.43E-05
653	-4.42E-05
654	-4.44E-05
655	-4.41E-05
656	-4.42E-05
657	-4.39E-05
658	-4.38E-05
659	-4.32E-05
660	-4.30E-05
661	-4.23E-05
662	-4.20E-05
663	-4.13E-05
664	-4.08E-05
665	-3.98E-05
666	-3.92E-05
667	-3.83E-05
668	-3.77E-05
669	-3.66E-05
670	-3.58E-05
671	-3.46E-05
672	-3.38E-05
673	-3.27E-05
674	-3.18E-05
675	-3.06E-05
676	-2.96E-05
677	-2.84E-05
678	-2.74E-05
679	-2.62E-05
680	-2.52E-05
681	-2.40E-05
682	-2.30E-05
683	-2.18E-05
684	-2.08E-05
685	-1.98E-05
686	-1.87E-05
687	-1.76E-05
688	-1.66E-05
689	-1.56E-05
690	-1.47E-05
691	-1.38E-05
692	-1.28E-05
693	-1.19E-05
694	-1.10E-05
695	-1.03E-05
696	-9.38E-06
697	-8.69E-06
698	-7.80E-06
699	-7.21E-06
700	-6.45E-06
701	-5.98E-06
702	-5.25E-06
703	-4.80E-06
704	-4.10E-06
705	-3.79E-06
706	-3.24E-06
707	-3.02E-06
708	-2.48E-06
709	-2.28E-06
710	-1.85E-06
711	-1.82E-06
712	-1.51E-06
713	-1.52E-06
714	-1.25E-06
715	-1.32E-06
716	-1.19E-06
717	-1.42E-06
718	-1.40E-06
719	-1.64E-06
720	-1.65E-06
721	-2.01E-06
722	-2.22E-06
723	-2.68E-06
724	-2.94E-06
725	-3.42E-06
726	-3.77E-06
727	-4.38E-06
728	-4.88E-06
729	-5.56E-06
730	-6.10E-06
731	-6.79E-06
732	-7.43E-06
733	-8.25E-06
734	-9.01E-06
735	-9.83E-06
736	-1.06E-05
737	-1.14E-05
738	-1.23E-05
739	-1.32E-05
740	-1.41E-05
741	-1.50E-05
742	-1.59E-05
743	-1.68E-05
744	-1.78E-05
745	-1.88E-05
746	-1.97E-05
747	-2.05E-05
748	-2.14E-05
749	-2.23E-05
750	-2.32E-05
751	-2.40E-05
752	-2.47E-05
753	-2.55E-05
754	-2.62E-05
755	-2.69E-05
756	-2.76E-05
757	-2.82E-05
758	-2.88E-05
759	-2.92E-05
760	-2.97E-05
761	-3.02E-05
762	-3.06E-05
763	-3.09E-05
764	-3.10E-05
765	-3.13E-05
766	-3.15E-05
767	-3.17E-05
768	-3.16E-05
769	-3.16E-05
